ID,TITULAR,RUC,TITULO_PROYECTO,UNIDAD_PROYECTO,TIPO,ACTIVIDAD,FECHA_INICIO,ESTADO,DESCRIPCION,LONGITUD,LATITUD,RESOLUCION,LABEL
2109,ELECTRICIDAD DEL PERU ELECTROPERU S.A.,20100027705,FALSO,C.H. RESTITUCION,FALSO,Electricidad,03/08/2017,Desaprobado,SIN DESCRIPCION,-74.6402344,-12.35497634,FALSO,null
1564,AGRICOLA ANDREA S.A.C.,20505688903,FALSO,FUNDO GINI,FALSO,Agricultura,24/11/2021,Desaprobado,SIN DESCRIPCION,-76.029875,-13.740456,FALSO,null
2115,CORPORACION MINERA CENTAURO S.A.C.,20457362294,FALSO,U.M. QUICAY,ITS,FALSO,14/09/2016,Desaprobado,SIN DESCRIPCION,-76.388,-10.6964,FALSO,null
2120,FALSO,20140688640,5TO ITS DE LA UNIDAD MINERA TANTAHUATAY,U.M. TANTAHUATAY,ITS,FALSO,09/10/2019,Desaprobado,SIN DESCRIPCION,-78.691,-6.7343,FALSO,null
1483,FALSO,20333363900,FALSO,C.H. QUITARACSA I,ITS,Electricidad,10/03/2017,Desaprobado,SIN DESCRIPCION,-77.84703518,-8.80356492,FALSO,null
1488,MUNICIPALIDAD DISTRITAL DE PARDO MIGUEL,20148155381,FALSO,FALSO,FALSO,Transportes,10/12/2018,Desaprobado,SIN DESCRIPCION,-77.62685596,-5.63921723,FALSO,null
2137,MUNICIPALIDAD DIST.DE CHALLHUAHUACHO,20288774553,FALSO,OFICINA DE ESTUDIOS Y PROYECTOS,FALSO,Transportes,09/11/2022,Desaprobado,SIN DESCRIPCION,-72.29987659,-14.22345752,FALSO,null
1491,MUNICIPALIDAD PROVINCIAL DE HUAMALIES,20175212095,FALSO,FALSO,FALSO,Transportes,03/03/2021,Desaprobado,SIN DESCRIPCION,-76.83861561,-9.63118322,FALSO,null
1493,INTERSUR CONCESIONES S.A.,20511130124,FALSO,VARIANTE CASAHUIRI,ITS,Transportes,17/12/2021,Desaprobado,SIN DESCRIPCION,-70.45991762,-13.64017677,FALSO,null
1496,ENGIE ENERGIA PERU S.A.,20333363900,FALSO,FALSO,ITS,Electricidad,22/05/2021,Desaprobado,SIN DESCRIPCION,-76.7603,-12.5384,FALSO,null
1591,MUNICIPALIDAD DISTRITAL DE CUCHUMBAYA,20221228511,FALSO,TROCHA CARROSABLE,FALSO,Transportes,05/09/2022,Desaprobado,SIN DESCRIPCION,-70.67913147,-16.75317949,FALSO,null
1592,GOBIERNO REGIONAL DE PASCO,20489252270,CREACION DEL CAMINO VECINAL PARA EL SERVICIO DE TRANSITABILIDAD VEHICULAR: EMPALME PA 651 (CRUCE TINGO MAL PASO), COCATAMBO, QUIRASOL, CUSHI %u2013 4 LOCALIDADES DEL DISTRITO DE POZUZO  - PROVINCIA DE OXAPAMPA %u2013 DEPARTAMENTO DE PASCO,CREACION DE CAMINO VECINAL,FALSO,Transportes,18/02/2022,Desaprobado,SIN DESCRIPCION,-75.697139,-9.963906,FALSO,null
1594,MUNICIPALIDAD DISTRITAL DE ECHARATI,20159368271,FALSO,CARRETERA VECINAL KAMANKIRIATO-TUNQUIMAYO II,FALSO,Transportes,18/08/2021,Desaprobado,SIN DESCRIPCION,-73.037991,-12.52659,FALSO,null
1604,FALSO,20170639520,FALSO,FALSO,ITS,Agricultura,22/04/2021,Desaprobado,SIN DESCRIPCION,-69.91906142,-17.32719631,FALSO,null
2157,FALSO,20114915026,QUINTO ITS PARA EL REPROCESAMIENTO DE RIPIOS GRUESOS ALMACENADOS EN EL BOTADERO 23,U.M. ANTAPACCAY,ITS,FALSO,06/06/2017,Desaprobado,SIN DESCRIPCION,-71.34080095,-14.91405903,FALSO,null
2158,MINERA YANACOCHA S.R.L.,20137291313,SEGUNDO INFORME TECNICO SUSTENTATORIO DE CAMBIOS MENORES A LA QUINTA MODIFICACION DEL EIA DE LA AMPLIACION DEL PROYECTO CARACHUGO SUPLEMENTARIO YANACOCHA ESTE,U.M. YANACOCHA,ITS,FALSO,28/04/2017,Desaprobado,SIN DESCRIPCION,-78.48586496,-6.97612352,FALSO,null
1512,MUNICIPALIDAD DISTRITAL DE VILAVILA,20190391613,MEJORAMIENTO DEL SERVICIO DE PROTECCION CONTRA INUNDACIONES EN LA LOCALIDAD DE VILAVILA, DISTRITO DE,MEJORAMIENTO DEL SERVICIO DE PROTECCION CONTRA INUNDACIONES EN LA LOCALIDAD DE VILAVILA, DISTRITO DE,FALSO,Agricultura,23/01/2020,Desaprobado,SIN DESCRIPCION,-70.65878116,-15.1882646,FALSO,null
2165,AUTOPISTA DEL NORTE S.A.C.,20520929658,FALSO,FALSO,ITS,Transportes,20/07/2022,Desaprobado,SIN DESCRIPCION,-78.56572541,-8.9934197,FALSO,null
1517,PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL - PROVIAS NACIONAL,20503503639,FALSO,SIN UNIDAD,ITS,Transportes,03/03/2017,Desaprobado,SIN DESCRIPCION,-76.64440811,-9.82042172,FALSO,null
