Listado de Proyectos EN EVALUACION

ID;TITULAR;RUC;TITULO_PROYECTO;UNIDAD_PROYECTO;TIPO;ACTIVIDAD;FECHA_INICIO;ESTADO;DESCRIPCION;LONGITUD;LATITUD;RESOLUCION;LABEL
"288";"GREEN CARE DEL PERU S.A.";"20379037012";"INFORME TÉCNICO SUSTENTATORIO - ITS PARA LA AMPLIACIÓN DE LA CAPACIDAD INSTALADA DEL PROYECTO INFRAESTRUCTURA DE VALORIZACIÓN DE RESIDUOS SÓLIDOS DEL ÁMBITO NO MUNICIPAL";"Ventanilla";"ITS";"Residuos Sólidos";"04/05/2023";"En Evaluación";"SIN DESCRIPCION";"-77.12439711";"-11.86648139";"";"null";
"289";"KANAY S.A.C.";"20553255709";"INFRAESTRUCTURA PARA LA DISPOSICIÓN FINAL DE RESIDUOS SÓLIDOS PELIGROSOS DEL ÁMBITO DE LA GESTIÓN NO MUNICIPAL %u201CECOCENTRO MAYNAS%u201D.";"ECOCENTRO MAYNAS";"PPC";"Residuos Sólidos";"03/05/2023";"En Evaluación";"SIN DESCRIPCION";"-73.5243394";"-4.31346565";"";"null";
"290";"CONSORCIO MINERO HORIZONTE S.A.";"20136150473";"MEJORA TECNOLOGICA, MODIFICACION Y REEMPLAZO DE COMPONENTES CON RELACION AL MEIA CURAUMBAMBA";"Unidad Minera Parcoy";"ITS";"Minería";"02/05/2023";"En Evaluación";"SIN DESCRIPCION";"-77.47797917";"-8.01904802";"";"null";
"292";"COSCO SHIPPING PORTS CHANCAY PERU S.A.";"20543244300";"AMPLIACIÓN DE LA ZONA DE EXTRACCIÓN DE MATERIAL DEL PROYECTO DE LA ZONA OPERATIVA PORTUARIA %u2013 ETAPA 1 DEL TERMINAL PORTUARIO MULTIPROPÓSITO DE CHANCAY";"Terminal Portuario Chancay";"ITS";"Transportes";"29/04/2023";"En Evaluación";"SIN DESCRIPCION";"-77.28091905";"-11.58597174";"";"null";
"298";"COMPAÑIA MINERA KOLPA S.A.";"20600020022";"SEGUNDA MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL EXCEPCIONAL PARA EL PROYECTO DE AMPLIACIÓN DE CAPACIDAD DE 2500 TPD DE LA UNIDAD HUACHOCOLPA UNO";"Unidad Minera Huachocolpa Uno";"MEIA-d";"Minería";"25/04/2023";"En Evaluación";"SIN DESCRIPCION";"-74.99354277";"-13.08194727";"";"null";
"271";"HUDBAY PERU S.A.C.";"20511165181";"CUARTA MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DE LA UNIDAD MINERA CONSTANCIA";"EXPLOTACIÓN, BENEFICIO Y LABOR GENERAL MINERO METÁLICOS";"PPC";"Minería";"22/12/2022";"En Evaluación";"SIN DESCRIPCION";"-71.78682972";"-14.47934175";"";"null";
"308";"COMPAÑIA MINERA CHUNGAR S.A.C.";"20514608041";"CUARTO ITS DE LA PRIMERA MEIA DE LA UM ALPAMARCA";"ALPAMARCA";"ITS";"Minería";"01/11/2022";"En Evaluación";"SIN DESCRIPCION";"-76.45374802";"-11.2185058";"";"null";
"336";"MARCOBRE S.A.C.";"20508972734";"SEGUNDA MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DE LA UNIDAD MINERA MINA JUSTA";"MINA JUSTA";"PPC";"Minería";"18/11/2022";"En Evaluación";"SIN DESCRIPCION";"-75.06645135";"-15.1504082";"";"null";
"384";"PROGRAMA SUBSECTORIAL DE IRRIGACIONES-PSI";"20414868216";"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA PARA RIEGO DEL SISTEMA DE RIEGO YANAPUJIO - VALLE DE TAMBO EN LOS DISTRITOS DE ICHUÑA Y UBINAS DE LA PROVINCIA DE GENERAL SANCHEZ CERRO DEL DEPARTAMENTO DE MOQUEGUA Y LA PROVINCIA DE ISLAY DEL DEPARTAMENTO DE";"PROYECTOS DE IRRIGACIÓN";"MTDR";"Agricultura";"16/12/2022";"En Evaluación";"SIN DESCRIPCION";"-70.66360722";"-16.16992571";"";"null";
"400";"CONCESIONARIA INTEROCEANICA SUR TRAMO 2 S.A.";"20511125040";"INFORME TÉCNICO SUSTENTATORIO PARA LA PLANTA CHANCADORA KM 54+200 LI DEL PROYECTO CORREDOR VIAL INTEROCEÁNICO SUR PERÚ-BRASIL, TRAMO N° 2 URCOS - PUENTE INAMBARI";"PROYECTO %u201CCORREDOR VIAL INTEROCEÁNICO SUR, PERÚ %u2013 BRASIL TRAMO N°2: URCOS %u2013 INAMBARI%u201D";"ITS";"Transportes";"15/02/2023";"En Evaluación";"SIN DESCRIPCION";"-71.4046";"-13.6132";"<Nulo>";"null";
"401";"COMPAÑIA MINERA COIMOLACHE S.A.";"20140688640";"TERCERA MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DE LA UP TANTAHUATAY";"TANTAHUATAY";"MEIA-d";"Minería";"28/12/2021";"En Evaluación";"SIN DESCRIPCION";"-78.6874";"-6.7324";"";"null";
"466";"CONCESIONARIA IIRSA NORTE S.A.";"20511004251";"INFORME TÉCNICO SUSTENTATORIO PARA LA HABILITACIÓN DE DEPÓSITOS DE MATERIAL EXCEDENTE KM 99+514 LD, KM 170+500 LD DEL CORREDOR VIAL AMAZONAS NORTE (IIRSA NORTE), TRAMO 04: CORRAL QUEMADO %u2013 OLMOS.";"TRAMO IV";"ITS";"Transportes";"10/03/2023";"En Evaluación";"SIN DESCRIPCION";"-78.82523415";"-5.88317248";"";"null";
"459";"HIDROELECTRICA RIO HUAMUCO S.A";"20602068847";"ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DEL COMPLEJO HIDROELÉCTRICO HUAMUCO";"COMPLEJO HIDROELÉCTRICO HUAMUCO";"EIA-d";"Electricidad";"13/05/2022";"En Evaluación";"SIN DESCRIPCION";"-76.47888624";"-8.87276274";"";"null";
"517";"MINSUR S. A.";"20100136741";"MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DETALLADO (MEIA-D) DE LA PLANTA DE FUNDICIÓN Y REFINERÍA DE ESTAÑO DE MINSUR S.A.";"EXPLOTACIÓN, BENEFICIO Y LABOR GENERAL MINERO METÁLICOS";"TDR";"Minería";"16/12/2022";"En Evaluación";"SIN DESCRIPCION";"-76.1783836";"-13.77945155";"";"null";
